plot_num,plot_type,replicate,sp_code,num_seeds_produced
755,L,5,CEME,NA
740,L,1,CLBO,NA
740,L,2,CLBO,NA
740,L,3,CLBO,NA
740,L,4,CLBO,NA
740,L,5,CLBO,NA
740,L,6,CLBO,NA
741,L,1,CLBO,NA
741,L,2,CLBO,NA
741,L,3,CLBO,NA
741,L,4,CLBO,NA
741,L,5,CLBO,NA
742,L,1,CLBO,NA
742,L,2,CLBO,NA
742,L,3,CLBO,NA
742,L,4,CLBO,NA
742,L,5,CLBO,NA
743,L,1,CLBO,NA
743,L,2,CLBO,NA
743,L,3,CLBO,NA
743,L,4,CLBO,NA
743,L,5,CLBO,NA
744,L,1,CLBO,NA
744,L,2,CLBO,NA
744,L,3,CLBO,NA
744,L,4,CLBO,NA
744,L,5,CLBO,NA
745,L,1,CLBO,NA
745,L,2,CLBO,NA
745,L,3,CLBO,NA
745,L,4,CLBO,NA
745,L,5,CLBO,NA
746,L,1,CLBO,NA
746,L,2,CLBO,NA
746,L,3,CLBO,NA
746,L,4,CLBO,NA
746,L,5,CLBO,NA
747,L,1,CLBO,NA
747,L,2,CLBO,NA
747,L,3,CLBO,NA
747,L,4,CLBO,NA
747,L,5,CLBO,NA
748,L,1,CLBO,NA
748,L,2,CLBO,NA
748,L,3,CLBO,NA
748,L,4,CLBO,NA
748,L,5,CLBO,NA
749,L,1,CLBO,200
749,L,2,CLBO,282
749,L,3,CLBO,124
749,L,4,CLBO,205
749,L,5,CLBO,210
750,L,1,CLBO,NA
750,L,2,CLBO,NA
750,L,3,CLBO,NA
750,L,4,CLBO,NA
750,L,5,CLBO,NA
751,L,1,CLBO,NA
751,L,2,CLBO,NA
751,L,3,CLBO,NA
751,L,4,CLBO,NA
751,L,5,CLBO,NA
752,L,1,CLBO,NA
752,L,2,CLBO,NA
752,L,3,CLBO,NA
752,L,4,CLBO,NA
752,L,5,CLBO,NA
753,L,1,CLBO,175
753,L,2,CLBO,494
753,L,3,CLBO,248.6664
753,L,4,CLBO,179
753,L,5,CLBO,188
754,L,1,CLBO,246
754,L,2,CLBO,166
754,L,3,CLBO,NA
754,L,4,CLBO,NA
754,L,5,CLBO,NA
755,L,1,CLBO,NA
755,L,2,CLBO,NA
755,L,3,CLBO,NA
755,L,4,CLBO,NA
755,L,5,CLBO,NA
740,L,1,CLPU,NA
740,L,2,CLPU,NA
740,L,3,CLPU,NA
740,L,4,CLPU,NA
740,L,5,CLPU,NA
741,L,1,CLPU,NA
741,L,2,CLPU,NA
741,L,3,CLPU,NA
741,L,4,CLPU,NA
741,L,5,CLPU,NA
742,L,1,CLPU,NA
742,L,2,CLPU,NA
742,L,3,CLPU,NA
742,L,4,CLPU,NA
742,L,5,CLPU,NA
743,L,1,CLPU,NA
743,L,2,CLPU,NA
743,L,3,CLPU,NA
743,L,4,CLPU,NA
743,L,5,CLPU,NA
744,L,1,CLPU,NA
744,L,2,CLPU,NA
744,L,3,CLPU,NA
744,L,4,CLPU,NA
744,L,5,CLPU,NA
745,L,1,CLPU,NA
745,L,2,CLPU,NA
745,L,3,CLPU,NA
745,L,4,CLPU,NA
745,L,5,CLPU,NA
746,L,1,CLPU,NA
746,L,2,CLPU,NA
746,L,3,CLPU,NA
746,L,4,CLPU,NA
746,L,5,CLPU,NA
747,L,1,CLPU,NA
747,L,2,CLPU,NA
747,L,3,CLPU,NA
747,L,4,CLPU,NA
747,L,5,CLPU,NA
748,L,1,CLPU,NA
748,L,2,CLPU,NA
748,L,3,CLPU,NA
748,L,4,CLPU,NA
748,L,5,CLPU,NA
749,L,1,CLPU,543
749,L,2,CLPU,238
749,L,3,CLPU,321
749,L,4,CLPU,704
749,L,5,CLPU,NA
750,L,1,CLPU,NA
750,L,2,CLPU,NA
750,L,3,CLPU,NA
750,L,4,CLPU,NA
750,L,5,CLPU,NA
751,L,1,CLPU,NA
751,L,2,CLPU,NA
751,L,3,CLPU,NA
751,L,4,CLPU,NA
751,L,5,CLPU,NA
752,L,1,CLPU,NA
752,L,2,CLPU,NA
752,L,3,CLPU,NA
752,L,4,CLPU,NA
752,L,5,CLPU,NA
753,L,1,CLPU,NA
753,L,2,CLPU,NA
753,L,3,CLPU,NA
753,L,4,CLPU,NA
753,L,5,CLPU,NA
754,L,1,CLPU,463
754,L,2,CLPU,330.5
754,L,3,CLPU,451
754,L,4,CLPU,396
754,L,5,CLPU,555
755,L,1,CLPU,NA
755,L,2,CLPU,NA
755,L,3,CLPU,NA
755,L,4,CLPU,NA
755,L,5,CLPU,NA
740,L,1,CHGL,582
740,L,2,CHGL,143
740,L,3,CHGL,313
740,L,4,CHGL,192
740,L,5,CHGL,NA
741,L,1,CHGL,94
741,L,2,CHGL,85
741,L,3,CHGL,138
741,L,4,CHGL,79
741,L,5,CHGL,NA
742,L,1,CHGL,176
742,L,2,CHGL,359
742,L,3,CHGL,411
742,L,4,CHGL,NA
742,L,5,CHGL,NA
743,L,1,CHGL,89
