plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
743,5,EUPE,2,60,2
743,5,MICA,6,50,6
743,5,AMME,27,60,27
743,5,CHGL,62,90,62
743,5,CLBO,0,60,0
743,5,MEPO,0,40,0
743,5,AGHE,6,60,6
743,5,BRMA,26,60,26
744,1,HECO,1,60,1
744,1,VUMI,21,60,21
744,1,CEME,12,60,12
744,1,LOWR,5,60,5
744,1,LACA,9,100,9
744,1,SACO,36,60,36
744,1,PLER,26,60,26
744,1,CLPU,0,60,0
744,1,HOMU,26,60,26
744,1,EUPE,24,60,24
744,1,MICA,0,50,0
744,1,AMME,37,60,37
744,1,CHGL,52,90,52
744,1,CLBO,2,60,2
744,1,MEPO,6,40,6
744,1,AGHE,49,60,49
744,1,BRMA,22,60,22
744,2,HECO,4,60,4
744,2,VUMI,37,60,37
744,2,CEME,14,60,14
744,2,LOWR,4,60,4
744,2,LACA,5,100,5
744,2,SACO,32,60,32
744,2,PLER,19,60,19
744,2,CLPU,0,60,0
744,2,HOMU,21,60,21
744,2,EUPE,36,60,36
744,2,MICA,0,50,0
744,2,AMME,13,60,13
744,2,CHGL,52,90,52
744,2,CLBO,0,60,0
744,2,MEPO,2,40,2
744,2,AGHE,22,60,22
744,2,BRMA,25,60,25
744,3,HECO,2,60,2
744,3,VUMI,21,60,21
744,3,CEME,14,60,14
744,3,LOWR,4,60,4
744,3,LACA,9,100,9
744,3,SACO,37,60,37
744,3,PLER,4,60,4
744,3,CLPU,0,60,0
744,3,HOMU,31,60,31
744,3,EUPE,12,60,12
744,3,MICA,0,50,0
744,3,AMME,11,60,11
744,3,CHGL,22,90,22
744,3,CLBO,0,60,0
744,3,MEPO,7,40,7
744,3,AGHE,38,60,38
744,3,BRMA,27,60,27
744,4,HECO,5,60,5
744,4,VUMI,47,60,47
744,4,CEME,6,60,6
744,4,LOWR,6,60,6
744,4,LACA,14,100,14
744,4,SACO,38,60,38
744,4,PLER,12,60,12
744,4,CLPU,0,60,0
744,4,HOMU,14,60,14
744,4,EUPE,16,60,16
744,4,MICA,0,50,0
744,4,AMME,17,60,17
744,4,CHGL,79,90,79
744,4,CLBO,1,60,1
744,4,MEPO,6,40,6
744,4,AGHE,39,60,39
744,4,BRMA,21,60,21
744,5,HECO,8,60,8
744,5,VUMI,36,60,36
744,5,CEME,4,60,4
744,5,LOWR,6,60,6
744,5,LACA,14,100,14
744,5,SACO,19,60,19
744,5,PLER,5,60,5
744,5,CLPU,0,60,0
744,5,HOMU,20,60,20
744,5,EUPE,30,60,30
744,5,MICA,1,50,1
744,5,AMME,24,60,24
744,5,CHGL,40,90,40
744,5,CLBO,0,60,0
744,5,MEPO,7,40,7
744,5,AGHE,30,60,30
744,5,BRMA,10,60,10
745,1,HECO,8,60,8
745,1,VUMI,17,60,17
745,1,CEME,7,60,7
745,1,LOWR,12,60,12
745,1,LACA,21,100,21
745,1,SACO,12,60,12
745,1,PLER,29,60,29
745,1,CLPU,0,60,0
745,1,HOMU,27,60,27
745,1,EUPE,11,60,11
745,1,MICA,2,50,2
745,1,AMME,0,60,0
745,1,CHGL,71,90,71
745,1,CLBO,0,60,0
745,1,MEPO,0,40,0
745,1,AGHE,5,60,5
745,1,BRMA,19,60,19
745,2,HECO,11,60,11
745,2,VUMI,31,60,31
745,2,CEME,0,60,0
745,2,LOWR,15,60,15
745,2,LACA,5,100,5
745,2,SACO,35,60,35
745,2,PLER,6,60,6
745,2,CLPU,1,60,1
745,2,HOMU,13,60,13
745,2,EUPE,6,60,6
745,2,MICA,1,50,1
745,2,AMME,0,60,0
745,2,CHGL,66,90,66
745,2,CLBO,0,60,0
745,2,MEPO,0,40,0
745,2,AGHE,0,60,0
745,2,BRMA,20,60,20
745,3,HECO,9,60,9
745,3,VUMI,47,60,47
745,3,CEME,8,60,8
745,3,LOWR,9,60,9
745,3,LACA,25,100,25
745,3,SACO,21,60,21
745,3,PLER,8,60,8
745,3,CLPU,0,60,0
745,3,HOMU,31,60,31
745,3,EUPE,20,60,20
745,3,MICA,2,50,2
745,3,AMME,0,60,0
745,3,CHGL,81,90,81
745,3,CLBO,0,60,0
745,3,MEPO,0,40,0
745,3,AGHE,23,60,23
745,3,BRMA,32,60,32
745,4,HECO,3,60,3
745,4,VUMI,31,60,31
745,4,CEME,0,60,0
745,4,LOWR,3,60,3
745,4,LACA,6,100,6
745,4,SACO,16,60,16
745,4,PLER,27,60,27
745,4,CLPU,0,60,0
745,4,HOMU,31,60,31
745,4,EUPE,0,60,0
745,4,MICA,0,50,0
